Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CB,CBS,CBS%,CH,CHS,CHS%,RB,RBS,RBS%,DB,DBS,DBS%,SC,SCS,SCS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
1,Micco,,2,7,7,5,4,1,0,0,3,5,0,0,1,0,0,0,.714,.714,.857,1.571,.000,.000,1.000,0,0,0,.000,0,0,0,1,6,.000,.667,7,1.000,0,.000,0,.000,0.00%,71.43%,0,0,1,0,2,2,28.57%,.714,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,18,0,18,0,0,0,1.000,6.0,0,0,0,.000,0,0
2,Beresford,,6,22,22,11,9,1,0,1,11,12,0,0,3,0,0,0,.500,.500,.682,1.182,.000,.000,1.000,0,0,0,.000,0,0,0,2,15,22.000,.467,23,1.045,0,.000,0,.000,40.91%,40.91%,0,0,17,5,7,8,36.36%,.476,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
3,Dyer,,2,7,7,6,3,1,0,2,6,4,0,0,0,0,0,1,.857,.857,1.857,2.714,.000,.000,.857,0,0,1,.000,0,0,0,3,13,3.500,1.000,9,1.286,0,.000,0,.000,33.33%,33.33%,0,0,0,4,4,5,71.43%,1.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
6,Brendo,,6,20,20,11,8,1,0,2,13,8,0,0,0,0,0,1,.550,.550,.900,1.450,.000,.000,.950,0,0,0,.000,0,0,0,3,18,10.000,.615,23,1.150,0,.000,0,.000,47.37%,15.79%,0,0,7,9,8,8,40.00%,.529,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
15,Calvert,,6,24,22,15,10,3,1,1,7,15,0,0,1,0,2,0,.682,.708,1.045,1.754,12.000,.000,1.000,0,0,0,.000,0,0,0,5,23,22.000,.429,30,1.250,0,.000,0,.000,13.64%,45.45%,0,0,8,2,10,12,50.00%,.667,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
19,DeMichele,,6,21,21,14,8,4,1,1,11,10,0,0,1,0,0,0,.667,.667,1.095,1.762,.000,.000,1.000,0,0,0,.000,0,0,0,6,23,21.000,.727,22,1.048,0,.000,0,.000,52.38%,23.81%,0,0,7,4,6,9,42.86%,.650,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,4.0,0,0,0,.000,0,0
23,Long,,6,23,22,16,11,2,1,2,12,9,0,0,0,0,1,0,.727,.739,1.182,1.921,23.000,.000,1.000,0,0,0,.000,1,0,0,5,26,11.000,.750,26,1.130,0,.000,0,.000,27.27%,40.91%,0,0,7,7,10,13,56.52%,.700,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
24,Ireton,,6,23,22,14,9,4,0,1,9,11,0,0,2,0,0,1,.636,.609,.955,1.563,.000,.000,.955,0,0,0,.000,0,0,0,5,21,22.000,.500,25,1.087,0,.000,0,.000,22.73%,22.73%,0,1,10,3,12,15,65.22%,.619,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,3,0,3,0,0,0,1.000,0.0,0,0,0,.000,0,0
43,Boyer,,6,22,21,15,9,3,0,3,12,11,0,0,1,0,0,1,.714,.682,1.286,1.968,.000,.000,.952,1,0,0,.000,0,0,0,6,27,7.000,.833,24,1.091,0,.000,0,.000,28.57%,38.10%,0,1,3,5,10,13,59.09%,.667,6.0,2,1,0,0,0,0,0,.000,3,1,1,0,18,0,1.167,.500,21,60,57,3,10.000,2.857,20,.952,5,5,5,12,-4.690,.950,20,.952,.850,.000,.150,.000,11,0,0,0,0,21,42,.700,21.000,.857,.000,.000,1.000,.333,.667,0,0,.000,.143,0,1.000,2,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
59,JJ,,2,7,6,2,2,0,0,0,3,1,0,0,1,0,0,0,.333,.286,.333,.619,.000,.000,1.000,0,0,0,.000,0,0,0,0,2,.000,.333,7,1.000,0,.000,0,.000,28.57%,57.14%,0,1,2,0,1,2,28.57%,.286,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
